,地方番号,品種名,品種名（かな）,分類:水陸,分類:粳糯,系統番号,育成開始年,配布開始年,農林登録番号,農林登録年,命名年,育成地,交配組合せ
7956,"西海233号
",,,水稲,粳,は系514,1990,1997,,,,　　農林水産省　九州農業試験場,愛知89号/南海119号
7957,"西海234号
",,,水稲,粳,は系879,1992,1997,,,,　　農林水産省　九州農業試験場,西海201号/東北152号
7958,"西海糯235号
",,,水稲,糯,は系糯519,1990,1997,,,,　　農林水産省　九州農業試験場,九系832/ヒヨクモチ
7959,"西海236号
",,,水稲,粳,は系半糯724,1990,1997,,,,　　農林水産省　九州農業試験場,西海164号/探系2021
7960,"西海237号
",,,水稲,粳,は系810,1992,1998,,,,　　農林水産省　九州農業試験場,ヒノヒカリ/奥羽346号
7961,"西海238号
 
 
 
",ふくいずみ,ふくいずみ,水稲,粳,は系752,1992,1998,水稲農林400号,2004,2004,　　（独）農研機構　九州沖縄農業研究センター,西海199号/北陸148号
7962,"西海239号
",,,水稲,粳,は系882,1992,1998,,,,　　農林水産省　九州農業試験場,西海201号/東北152号
7963,"西海240号
",,,水稲,粳,は系883,1992,1998,,,,　　農林水産省　九州農業試験場,西海201号/東北152号
7964,"西海241号
",,,水稲,粳,は系785,1992,1998,,,,　　農林水産省　九州農業試験場,南海127号/コシヒカリ//東北150号
7965,"西海242号
",,,水稲,粳,泉87-1,1993,1999,,,,　　農林水産省　九州農業試験場,は系201/西海205号
7966,"西海糯243号
 
 
 
",紅染めもち,べにぞめもち,水稲,糯,は系赤糯898,1992,1999,水稲農林糯395号,2004,2004,　　（独）農研機構　九州沖縄農業研究センター,西海糯197号/は系赤124
7967,"西海244号
",,,水稲,粳,泉65,1993,2000,,,,　　農林水産省　九州農業試験場,ミヤコ95/北陸155号//西海205号
7968,"西海245号
",,,水稲,粳,泉192,1994,2000,,,,　　農林水産省　九州農業試験場,西海210号/愛知92号//ヒノヒカリ
7969,"西海観246号
",,,水稲,粳,は系赤糯897,1992,2000,,,,　　農林水産省　九州農業試験場,西海糯197号/は系赤124
7970,"西海247号
 
",,,水稲,粳,泉290,1994,2001,,,,　　（独）農研機構　九州沖縄農業研究センター,西海201号/南海132号
7971,"西海248号
 
 
 
",あきまさり,あきまさり,水稲,粳,泉514,1996,2001,水稲農林410号,2005,2005,　　（独）農研機構　九州沖縄農業研究センター,南海127号/西海230号
7972,"西海249号
",,,水稲,粳,泉412,1995,2002,,,,　　（独）農研機構　九州沖縄農業研究センター,南海131号/関東178号
7973,"西海250号
 
 
 
",にこまる,にこまる,水稲,粳,泉722,1996,2002,水稲農林411号,2005,2005,　　（独）農研機構　九州沖縄農業研究センター,は系626/北陸174号
7974,"西海251号
",,,水稲,粳,泉661,1996,2003,,,,　　（独）農研機構　九州沖縄農業研究センター,は系626/北陸174号
7975,"西海252号
",,,水稲,粳,泉982,1997,2003,,,,　　（独）農研機構　九州沖縄農業研究センター,西海230号/南海146号
7976,"西海飼253号
 
 
 
",タチアオバ,たちあおば,水稲,粳,泉1022,1996,2003,水稲農林419号,2006,2006,　　（独）農研機構　九州沖縄農業研究センター,は系906//47-1-1/95SH50
7977,"西海254号
",,,水稲,粳,泉1136,1998,2004,,,,　　（独）農研機構　九州沖縄農業研究センター,関東197号/西海234号
7978,"西海酒255号
 
 
 
",吟のさと,ぎんのさと,水稲,粳,泉1036,1996,2004,水稲農林433号,2009,2007,　　（独）農研機構　九州沖縄農業研究センター,山田錦/西海222号
7979,"西海黄256号
 
 
 
",初山吹,はつやまぶき,水稲,粳,泉1275,1998,2005,,,2008,　　（独）農研機構　九州沖縄農業研究センター,キヌヒカリ(ガンマ線照射による突然変異)
7980,"西海257号
",,,水稲,粳,泉半糯1026,1998,2005,,,,　　（独）農研機構　九州沖縄農業研究センター,ヒノヒカリ(ガンマ線照射による突然変異)
7981,"西海258号
",,,水稲,粳,泉1801,2000,2006,,,,　　（独）農研機構　九州沖縄農業研究センター,西海238号/西海244号
7982,"西海259号
",,,水稲,粳,泉1432,1999,2006,,,,　　（独）農研機構　九州沖縄農業研究センター,西海238号/北陸179号
7983,"西海糯260号
",,,水稲,糯,泉糯1569,1999,2006,,,,　　（独）農研機構　九州沖縄農業研究センター,中部糯91号/西海糯235号
7984,"西海飼261号
 
 
 
",まきみずほ,まきみずほ,水稲,粳,泉1628,1999,2006,,,2009,　　（独）農研機構　九州沖縄農業研究センター,中国146号/北陸168号
7985,"西海飼262号
 
 
 
",モグモグあおば,もぐもぐあおば,水稲,粳,泉1636,1999,2007,水稲農林447号,2014,2009,　　（独）農研機構　九州沖縄農業研究センター,中国146号/西海203号
7986,"西海糯263号
",,,水稲,糯,泉糯1681,1999,2007,,,,　　（独）農研機構　九州沖縄農業研究センター,中国146号/あくねもち
7987,"THS1
 
 
 
",ルリアオバ,るりあおば,水稲,粳,泉飼2319,2003,2007,,,2009,　　（独）農研機構　九州沖縄農業研究センター,Taporuri(ガンマ線照射による突然変異)
7988,"西海264号
",,,水稲,粳,泉半糯1951,2001,2008,,,,　　（独）農研機構　九州沖縄農業研究センター,西海244号/ミルキークイーン
7989,"西海265号
",,,水稲,粳,泉2121,2002,2008,,,,　　（独）農研機構　九州沖縄農業研究センター,西海244号/中部111号
7990,"西海266号
",,,水稲,粳,泉2497,2003,2009,,,,　　（独）農研機構　九州沖縄農業研究センター,関東IL2号/西海249号
7991,"西海267号
 
 
 
",はるもに,はるもに,水稲,粳,泉2509,2003,2009,,,2011,　　（独）農研機構　九州沖縄農業研究センター,関東IL2号/西海249号
7992,"西海268号
",,,水稲,粳,泉2541,2003,2009,,,,　　（独）農研機構　九州沖縄農業研究センター,西海252号/関東218号
7993,"西海269号
 
 
 
",こなだもん,こなだもん,水稲,粳,泉2310,2001,2009,,,2012,　　（独）農研機構　九州沖縄農業研究センター,ヒノヒカリ/放育5号
7994,"西海270号
 
 
 
",ぴかまる,ぴかまる,水稲,粳,泉半糯2741,2004,2010,,,2012,　　（独）農研機構　九州沖縄農業研究センター,関東221号/西海250号
7995,"西海271号
 
 
 
",たちはるか,たちはるか,水稲,粳,泉2755,2004,2010,,,2012,　　（独）農研機構　九州沖縄農業研究センター,西海飼253号/中部111号
7996,"西海観272号
",,,水稲,粳,泉観2070,2003,2010,,,,　　（独）農研機構　九州沖縄農業研究センター,西海観246号/いただき
7997,"西海観273号
",,,水稲,粳,泉糯1671,2003,2010,,,,　　（独）農研機構　九州沖縄農業研究センター,西海観246号/03V131赤もち
7998,"西海観274号
",,,水稲,粳,泉観2343,2003,2010,,,,　　（独）農研機構　九州沖縄農業研究センター,西海糯243号/西海観246号
7999,"西海観275号
",,,水稲,粳,泉観2355,2003,2010,,,,　　（独）農研機構　九州沖縄農業研究センター,西海観246号/つくし赤もち
8000,"西海観276号
",,,水稲,粳,泉観2369C,2003,2010,,,,　　（独）農研機構　九州沖縄農業研究センター,ヒヨクモチ/03色42赤米
8001,"西海観277号
",,,水稲,粳,泉観2368,2003,2010,,,,　　（独）農研機構　九州沖縄農業研究センター,ヒヨクモチ/03色42赤米
8002,"西海観278号
",,,水稲,粳,泉観2353-2,2003,2010,,,,　　（独）農研機構　九州沖縄農業研究センター,西海糯243号/つくし赤もち
8003,"西海観279号
",,,水稲,粳,泉観2364,2003,2010,,,,　　（独）農研機構　九州沖縄農業研究センター,ヒヨクモチ/03色42赤米
8004,"西海観280号
",,,水稲,粳,泉糯1667,2003,2010,,,,　　（独）農研機構　九州沖縄農業研究センター,西海糯235号/あくねもち
8005,"西海観281号
",,,水稲,粳,泉緑香2081,2003,2010,,,,　　（独）農研機構　九州沖縄農業研究センター,緑香米/品質82
8006,"西海282号
",,,水稲,粳,泉2664,2004,2011,,,,　　（独）農研機構　九州沖縄農業研究センター,西海飼253号/関東220号
8007,"西海283号
",,,水稲,粳,羽119,2005,2011,,,,　　（独）農研機構　九州沖縄農業研究センター,西海250号/ちくし64号
8008,"西海284号
",,,水稲,粳,泉2761,2004,2011,,,,　　（独）農研機構　九州沖縄農業研究センター,西海飼253号/関東220号
8009,"西海赤糯285号
",,,水稲,糯,泉赤糯2774,2004,2011,,,,　　（独）農研機構　九州沖縄農業研究センター,西海糯243号/中国183号
8010,"西海飼286号
",,,水稲,粳,泉飼2798,2005,2011,,,,　　（独）農研機構　九州沖縄農業研究センター,泉1632/関東飼215号
8011,"西海飼287号
",,,水稲,粳,飼32,2006,2011,,,,　　（独）農研機構　九州沖縄農業研究センター,泉1636/西海飼253号
8012,"西海288号
",,,水稲,粳,羽147,2005,2011,,,,　　（独）農研機構　九州沖縄農業研究センター,西海飼253号/泉1453
8013,"西海289号
 
 
 
",歓喜の風,かんきのかぜ,水稲,粳,羽16,2005,2012,,,2017,　　（国研）農研機構　九州沖縄農業研究センター,ふくいずみ/越南208号
8014,"西海290号
",,,水稲,粳,羽190,2006,2012,,,,　　（独）農研機構　九州沖縄農業研究センター,西海258号/北陸211号
8015,"西海291号
 
 
 
",つやきらり,つやきらり,水稲,粳,羽59,2005,2012,,,2018,　　（国研）農研機構　九州沖縄農業研究センター,泉1801/関東222号
8016,"西海糯292号
",,,水稲,糯,羽糯156,2005,2012,,,,　　（独）農研機構　九州沖縄農業研究センター,愛知糯114号/泉糯1572
8017,"西海飼糯293号
",,,水稲,糯,飼85,2006,2012,,,,　　（独）農研機構　九州沖縄農業研究センター,西海飼253号/泉糯1681
8018,"西海294号
",,,水稲,粳,羽468,2009,2013,,,,　　（独）農研機構　九州沖縄農業研究センター,西海258号*5/中国193号
8019,"西海295号
",,,水稲,粳,羽半糯321,2007,2013,,,,　　（独）農研機構　九州沖縄農業研究センター,おぼろづき/西海259号//西海259号
8020,"西海296号
",,,水稲,粳,羽328,2007,2013,,,,　　（独）農研機構　九州沖縄農業研究センター,泉2121/泉2507(はるもにの姉妹系統)
8021,"西海297号
 
 
 
",秋はるか,あきはるか,水稲,粳,羽405,2007,2013,,,2017,　　（国研）農研機構　九州沖縄農業研究センター,泉2121/泉2507(はるもにの姉妹系統)
8022,"西海298号
",,,水稲,粳,飼197,2007,2013,,,,　　（独）農研機構　九州沖縄農業研究センター,西海飼262号/北陸193号
8023,"西海299号
",,,水稲,粳,羽655,2009,2014,,,,　　（独）農研機構　九州沖縄農業研究センター,元気つくし//にこまる/西南132号
8024,"西海300号
",,,水稲,粳,羽615,2008,2014,,,,　　（独）農研機構　九州沖縄農業研究センター,ふくひびき/ホシアオバ
8025,"西海301号
",,,水稲,粳,羽624,2008,2014,,,,　　（独）農研機構　九州沖縄農業研究センター,ふくひびき/ホシアオバ
8026,"西海302号
",,,水稲,粳,羽857,2009,2015,,,,　　（国研）農研機構　九州沖縄農業研究センター,西海259号/中国201号
8027,"西海303号
",,,水稲,粳,飼336,2009,2015,,,,　　（国研）農研機構　九州沖縄農業研究センター,モグモグあおば/ミズホチカラ
8028,"西海304号
 
 
 
",とくだわら,とくだわら,水稲,粳,羽948,2009,2017,,,2020,　　（国研）農研機構　九州沖縄農業研究センター,あきだわら/タチアオバ
8029,"西海305号
",,,水稲,粳,羽953,2011,2017,,,,　　（国研）農研機構　九州沖縄農業研究センター,西海283号/西南136号
8030,"西海306号
",,,水稲,粳,羽1106,2012,2018,,,,　　（国研）農研機構　九州沖縄農業研究センター,西海291号/西南136号
8031,"西海307号
 
 
 
",笑みたわわ,えみたわわ,水稲,粳,羽919,2009,2017,,,2019,　　（国研）農研機構　九州沖縄農業研究センター,PMF84/モミロマン//ミズホチカラ
8032,"西海糯308号
",,,水稲,糯,羽糯1121,2012,2018,,,,　　（国研）農研機構　九州沖縄農業研究センター,西海糯292号/西海271号
8033,"西海糯309号
",,,水稲,糯,羽糯1128,2012,2018,,,,　　（国研）農研機構　九州沖縄農業研究センター,西海糯292号/西海271号
8034,"西海310号
",,,水稲,粳,羽1147,2011,2019,,,,　　（国研）農研機構　九州沖縄農業研究センター,西海282号/関東239号
8035,"西海311号
",,,水稲,粳,羽1283,2013,2019,,,,　　（国研）農研機構　九州沖縄農業研究センター,羽824(にこまる背景、Pb1、Pi39、Stvb-i、bph11を保有するIL系統)/たちはるか
8036,"西海312号
",,,水稲,粳,羽1349,2014,2020,,,,　　（国研）農研機構　九州沖縄農業研究センター,羽824(にこまる背景、Pb1、Pi39、Stvb-i、bph11を保有するIL系統)/羽751//羽824/関東260号
8037,"西海313号
",,,水稲,粳,羽1173A,2015,2021,,,,　　（国研）農研機構　九州沖縄農業研究センター,たちはるか*2/関東IL15号
8038,"西海314号
",,,水稲,粳,羽1560,2015,2021,,,,　　（国研）農研機構　九州沖縄農業研究センター,和3223/北陸193号
8039,"西海315号
",,,水稲,粳,羽1597,2015,2022,,,,　　（国研）農研機構　九州沖縄農業研究センター,(羽824/13H1367)F3//西海289号
8040,"西海316号
",,,水稲,粳,羽1296,2010,2022,,,,　　（国研）農研機構　九州沖縄農業研究センター,飼45/西海271号
8041,"西海IL1号
",,,水稲,粳,泉2594,,2010,,,,　　（独）農研機構　九州沖縄農業研究センター,キヌヒカリ*10/水稲中間母本農6号
8042,"西海IL2号
",,,水稲,粳,泉2595,2005,2011,,,,　　（独）農研機構　九州沖縄農業研究センター,キヌヒカリIL29/キヌヒカリIL30
8043,"西海IL3号
",,,水稲,粳,羽285B,2008,2012,,,,　　（独）農研機構　九州沖縄農業研究センター,にこまる*5/関東IL2号
8044,"西海IL4号
",,,水稲,粳,羽474,2008,2013,,,,　　（独）農研機構　九州沖縄農業研究センター,にこまる*5/愛知108号
8045,"西海IL5号
",にこまるBL1号,にこまるBL1ごう,水稲,粳,羽637,2006,2014,,,2019,　　（独）農研機構　九州沖縄農業研究センター,にこまる*6/中部111号
8046,"西海IL6号
",,,水稲,粳,羽479,2005,2014,,,,　　（独）農研機構　九州沖縄農業研究センター,にこまる*5/愛知108号
8047,"西海IL7号
",,,水稲,粳,羽1175,2016,2018,,,,　　（国研）農研機構　九州沖縄農業研究センター,きぬむすめ*3///きぬむすめ/コシヒカリ環1号//2*きぬむすめ
8048,"西海IL8号
",,,水稲,粳,羽1116,2014,2018,,,,　　（国研）農研機構　九州沖縄農業研究センター,にこまる//コシヒカリ環1号/にこまる///2*にこまる
8049,"西海IL9号
",,,水稲,粳,羽1178,2015,2018,,,,　　（国研）農研機構　九州沖縄農業研究センター,たちはるか*2/4/たちはるか//コシヒカリ環1号/たちはるか///たちはるか
8050,"西海IL10号
",,,水稲,粳,羽1649,2016,,,,,　　（国研）農研機構　九州沖縄農業研究センター,ミズホチカラ*3///ミズホチカラ/コシヒカリ環1号//ミズホチカラ
8051,"西海IL11号
",,,水稲,粳,羽1652,2015,2021,,,,　　（国研）農研機構　九州沖縄農業研究センター,北陸193号*2//15TPH52/3*北陸193号
8052,"西海IL12号
",,,水稲,粳,羽1770,2015,2022,,,,　　（国研）農研機構　九州沖縄農業研究センター,吟のさと*5/コシヒカリ環1号
8053,"西海IL13号
",,,水稲,粳,羽1648,2016,2022,,,,　　（国研）農研機構　九州沖縄農業研究センター,にこまる/4*ミズホチカラ
8054,"西海交1号
",,,水稲,粳,は系交602,,,,,,熊本県　県立農事試験場,アケノホシ(BO-MS)/ヒノヒカリ(BO-F)
8055,"西海PL1
",,,水稲,粳,九系80077,1969,1979,,,,　　農林水産省　九州農業試験場,中国45号/中部2号
8056,"西海PL2
",水稲中間母本農5号,ちゅうかんぼほんのう5ごう,水稲,粳,九系750172,1969,1979,,,,　　農林水産省　九州農業試験場,レイホウ/C203-1(インド型の赤米品種)//レイホウ*2///西海137号
8057,"西海PL3
",,,水稲,粳,九系770893,1974,1980,,,,　　農林水産省　九州農業試験場,ツクシバレ/耐虫No.105
8058,"西海PL4
",,,水稲,粳,九系77N7,1975,1980,,,,　　農林水産省　九州農業試験場,F6 324/アキツホ
8059,"西海PL5
",,,水稲,粳,泉960,1997,2002,,,,　　（独）農研機構　九州沖縄農業研究センター,西海232号//西海230号/USSR8
8060,"陸稲西海1号
",,,陸稲,粳,,1927,1935,,,,鹿児島県　県立農事試験場鹿屋分場,嘉平/鹿児島霧島1号
8061,"陸稲西海2号
",,,陸稲,粳,,1927,1935,,,,鹿児島県　県立農事試験場鹿屋分場,嘉平/鹿児島霧島1号
8062,"陸稲西海3号
",,,陸稲,糯,,1928,1935,,,,鹿児島県　県立農事試験場鹿屋分場,葉冠/田優a
8063,"陸稲西海4号
",,,陸稲,糯,,1928,1935,,,,鹿児島県　県立農事試験場鹿屋分場,葉冠/田優a
8064,"陸稲西海5号
 
",陸稲農林糯6号,りくとうのうりんもち6ごう,陸稲,糯,鴻雑937,1928,1935,陸稲農林糯6号,1937,1937,鹿児島県　県立農事試験場鹿屋分場,葉冠/田優a
8065,"陸稲西海6号
",,,陸稲,粳,,1927,1937,,,,鹿児島県　県立農事試験場鹿屋分場,嘉平/鹿児島霧島1号
