,地方番号,品種名,品種名（かな）,分類:水陸,分類:粳糯,系統番号,育成開始年,配布開始年,農林登録番号,農林登録年,命名年,育成地,交配組合せ
1,"愛知1号
",,,水稲,粳,M639-197,1964,1968,,,,愛知県　県農業総合試験場,StNo.1/GA-8
2,"愛知2号
",しまはしらず,しまはしらず,水稲,粳,M639-55,1964,1968,,,1971,愛知県　県農業総合試験場作物研究所,StNo.1/GA-8
3,"愛知3号
",,,水稲,粳,M629-20,1964,1968,,,,愛知県　県農業総合試験場,(クサブエ／幸風)-8(幸光)/コクマサリ
4,"愛知4号
",,,水稲,粳,M551-矢3,1962,1968,,,,愛知県　県農業総合試験場,L-965/秋晴
5,"愛知5号
 
",太刀風,たちかぜ,水稲,粳,M502-27-3,1961,1968,,,1971,愛知県　県農業総合試験場作物研究所,M45-27/GA-3
6,"愛知6号
",,,水稲,粳,あ系12,1964,1969,,,,愛知県　県農業総合試験場,StNo.1/GA-8
7,"愛知7号
",,,水稲,粳,あ系26,1964,1969,,,,愛知県　県農業総合試験場,StNo.1/日本晴
8,"愛知8号
",,,水稲,粳,あ系36,1964,1970,,,,愛知県　県農業総合試験場作物研究所,StNo.1/GA-8
9,"愛知9号
",,,水稲,粳,あ系22,1963,1970,,,,愛知県　県農業総合試験場作物研究所,(クサブエ／幸風)-5/早生吉良黄金
10,"愛知10号
",,,水稲,粳,あ系40,1964,1970,,,,愛知県　県農業総合試験場作物研究所,M154-7/M292-4
11,"愛知11号
",,,水稲,粳,あ系46,1964,1970,,,,愛知県　県農業総合試験場作物研究所,金南風/予713
12,"愛知12号
",,,水稲,粳,あ系47,1964,1970,,,,愛知県　県農業総合試験場作物研究所,金南風/予713
13,"愛知13号
",,,水稲,粳,GA-15B,1961,1970,,,,愛知県　県農業総合試験場作物研究所,GA-3/山路早生
14,"愛知14号
",,,水稲,粳,あ系29,1962,1971,,,,愛知県　県農業総合試験場作物研究所,新山吹/ハツニシキ
15,"愛知15号
",,,水稲,粳,956-99,1967,1971,,,,愛知県　県農業総合試験場作物研究所,日本晴/M639-157
16,"愛知16号
",,,水稲,粳,あ系51,1965,1971,,,,愛知県　県農業総合試験場作物研究所,40-3/中国31号
17,"愛知17号
",,,水稲,粳,あ系45,1964,1971,,,,愛知県　県農業総合試験場作物研究所,金南風/予713
18,"愛知18号
 
",碧風,あおかぜ,水稲,粳,あ系55,1964,1971,,,1980,愛知県　県農業総合試験場作物研究所,M494-21/東海21号
19,"愛知19号
",,,水稲,粳,997-195,1967,1971,,,,愛知県　県農業総合試験場作物研究所,西海104号/良吉黄金
20,"愛知20号
",,,水稲,粳,あ系76,1967,1972,,,,愛知県　県農業総合試験場作物研究所,日本晴/40-11
21,"愛知21号
",,,水稲,粳,あ系81,1967,1972,,,,愛知県　県農業総合試験場作物研究所,M639-113-3/早生吉良黄金
22,"愛知22号
",,,水稲,粳,あ系69,1967,1972,,,,愛知県　県農業総合試験場作物研究所,日本晴/M639-157
23,"愛知23号
",,,水稲,粳,956-341,1967,1972,,,,愛知県　県農業総合試験場作物研究所,日本晴/M639-157
24,"愛知24号
",,,水稲,粳,あ系52,1965,1972,,,,愛知県　県農業総合試験場作物研究所,40-3/中国31号
25,"愛知25号
",,,水稲,粳,904-17,1967,1972,,,,愛知県　県農業総合試験場作物研究所,幸風/40-11
26,"愛知26号
 
",初星,はつぼし,水稲,粳,あ系96,1966,1972,,,1977,愛知県　県農業総合試験場作物研究所,コシヒカリ/40-11
27,"愛知糯27号
",,,水稲,糯,あ系糯83,1967,1973,,,,愛知県　県農業総合試験場作物研究所,GAm-16/40-11
28,"愛知28号
",,,水稲,粳,あ系118,1967,1974,,,,愛知県　県農業総合試験場作物研究所,40-11/ヤマセニシキ
29,"愛知29号
",,,水稲,粳,あ系116,1968,1974,,,,愛知県　県農業総合試験場作物研究所,愛知2号/コシヒカリ
30,"愛知30号
",,,水稲,粳,あ系88,1966,1974,,,,愛知県　県農業総合試験場作物研究所,GA-8/GA-14
31,"愛知31号
",,,水稲,粳,あ系126,1968,1974,,,,愛知県　県農業総合試験場作物研究所,日本晴/愛知2号
32,"愛知32号
",,,水稲,粳,あ系102,1967,1974,,,,愛知県　県農業総合試験場作物研究所,日本晴/40-11
33,"愛知33号
",,,水稲,粳,あ系105,1967,1974,,,,愛知県　県農業総合試験場作物研究所,峰光/中国40号
34,"愛知34号
",,,水稲,粳,あ系147,1970,1975,,,,愛知県　県農業総合試験場作物研究所,愛知8号/日本晴
35,"愛知35号
",,,水稲,粳,1486-41,1972,1975,,,,愛知県　県農業総合試験場作物研究所,愛知15号/関東98号
36,"愛知36号
",,,水稲,粳,あ系172,1970,1976,,,,愛知県　県農業総合試験場作物研究所,愛知5号/大空
37,"愛知37号
 
",青い空,あおいそら,水稲,粳,あ系179,1972,1976,,,1983,愛知県　県農業総合試験場作物研究所,愛知6号/関東98号
38,"愛知38号
",,,水稲,粳,1486-9,1972,1976,,,,愛知県　県農業総合試験場作物研究所,愛知15号/関東98号
39,"愛知39号
",,,水稲,粳,あ系208,1973,1977,,,,愛知県　県農業総合試験場作物研究所,あ系118/コシヒカリ
40,"愛知40号
 
",黄金晴,こがねばれ,水稲,粳,あ系103B,1967,1977,,,1980,愛知県　県農業総合試験場作物研究所,日本晴/40-11
41,"愛知41号
",,,水稲,粳,あ系211,1973,1978,,,,愛知県　県農業総合試験場作物研究所,愛知26号/越南62号
42,"愛知42号
",,,水稲,粳,あ系萎229,1974,1978,,,,愛知県　県農業総合試験場作物研究所,日本晴/B6F1-18
43,"愛知43号
",,,水稲,粳,あ系237,1972,1979,,,,愛知県　県農業総合試験場作物研究所,愛知26号/ササニシキ
44,"愛知44号
 
",星の光,ほしのひかり,水稲,粳,育30,1972,1979,,,1982,愛知県　県農業総合試験場作物研究所,あ系179/コシヒカリ
45,"愛知45号
",,,水稲,粳,あ系235,1972,1979,,,,愛知県　県農業総合試験場作物研究所,太刀風/あ系95
46,"愛知46号
",,,水稲,粳,あ系直239,1974,1979,,,,愛知県　県農業総合試験場作物研究所,1006-1/関東107号
47,"愛知47号
",,,水稲,粳,あ系265,1972,1980,,,,愛知県　県農業総合試験場作物研究所,あ系96/コシヒカリ
48,"愛知糯48号
 
",恵糯,めぐみもち,水稲,糯,育M105,1973,1980,,,1983,愛知県　県農業総合試験場作物研究所,愛知糯27号/ふ系102号
49,"愛知49号
",,,水稲,粳,あ系萎251,1974,1980,,,,愛知県　県農業総合試験場作物研究所,日本晴/B7F1-18
50,"愛知50号
",,,水稲,粳,育165,1976,1980,,,,愛知県　県農業総合試験場作物研究所,愛知32号/秋晴
51,"愛知51号
 
",若水,わかみず,水稲,粳,あ系酒226,1972,1980,,,1983,愛知県　県農業総合試験場作物研究所,あ系酒101/五百万石
52,"愛知52号
",,,水稲,粳,育228,1976,1981,,,,愛知県　県農業総合試験場作物研究所,中部17号/あ系208
53,"愛知53号
 
",せとむすめ,せとむすめ,水稲,粳,あ系261,1973,1981,,,1988,愛知県　県農業総合試験場作物研究所,愛知18号/関東107号
54,"愛知54号
",,,水稲,粳,育229,1976,1982,,,,愛知県　県農業総合試験場作物研究所,中部17号/あ系208
55,"愛知55号
",,,水稲,粳,あ系308,1976,1982,,,,愛知県　県農業総合試験場作物研究所,中部17号/あ系208
56,"愛知56号
 
",月の光,つきのひかり,水稲,粳,育339,1976,1982,,,1985,愛知県　県農業総合試験場作物研究所,あ系103B//愛知37号/北陸103号
57,"愛知57号
",,,水稲,粳,あ系299,1976,1982,,,,愛知県　県農業総合試験場作物研究所,日本晴/あ系179
58,"愛知58号
",,,水稲,粳,育387,1976,1982,,,,愛知県　県農業総合試験場作物研究所,秋晴/あそみのり
59,"愛知糯59号
 
",十五夜糯,じゅうごやもち,水稲,糯,育M366,1975,1982,,,1985,愛知県　県農業総合試験場作物研究所,GAm-5/クレナイモチ
60,"愛知糯60号
",,,水稲,糯,あ系糯332,1976,1983,,,,愛知県　県農業総合試験場作物研究所,愛知糯27号/トドロキワセ
61,"愛知61号
 
",朝の光,あさのひかり,水稲,粳,育466,1973,1983,,,1987,愛知県　県農業総合試験場作物研究所,あ系103B//愛知37号/北陸103号
62,"愛知62号
",,,水稲,粳,あ系300,1973,1983,,,,愛知県　県農業総合試験場作物研究所,愛知18号/関東107号
63,"愛知63号
",,,水稲,粳,あ系353,1976,1984,,,,愛知県　県農業総合試験場作物研究所,中部17号/こしにしき
64,"愛知64号
",,,水稲,粳,あ系357,1977,1984,,,,愛知県　県農業総合試験場作物研究所,中部17号/こしにしき//初星
65,"愛知65号
",,,水稲,粳,育528,1976,1984,,,,愛知県　県農業総合試験場作物研究所,中部17号/北陸103号
66,"愛知66号
",,,水稲,粳,あ系萎354,1976,1984,,,,愛知県　県農業総合試験場作物研究所,あ系萎238/中部17号
67,"愛知67号
",,,水稲,粳,育564,1976,1984,,,,愛知県　県農業総合試験場作物研究所,あ系103B//愛知37号/北陸103号
68,"愛知68号
",,,水稲,粳,あ系321,1976,1984,,,,愛知県　県農業総合試験場作物研究所,あ系103B/中部25号
69,"愛知69号
",,,水稲,粳,愛系飼-3,1972,1984,,,,愛知県　県農業総合試験場作物研究所,日本晴//(日本晴*2/IR127)F6
70,"愛知70号
 
",あいちのかおり,あいちのかおり,水稲,粳,あ系355,1977,1984,,,1987,愛知県　県農業総合試験場作物研究所,ハツシモ/中部17号
71,"愛知71号
",,,水稲,粳,育623,1979,1985,,,,愛知県　県農業総合試験場作物研究所,中部17号/フジヒカリ
72,"愛知72号
",,,水稲,粳,あ系萎405,1980,1985,,,,愛知県　県農業総合試験場作物研究所,愛知37号/愛知40号//HB8F1-5
73,"愛知73号
",,,水稲,粳,あ系412,1976,1985,,,,愛知県　県農業総合試験場作物研究所,あ系103B//愛知37号/北陸103号
74,"愛知74号
",,,水稲,粳,あ系萎348,1979,1985,,,,愛知県　県農業総合試験場作物研究所,晴々/あそみのり//あ系萎229
75,"愛知75号
",,,水稲,粳,あ系415,1981,1986,,,,愛知県　県農業総合試験場作物研究所,初星/西南70号
76,"愛知76号
 
",あかね空,あかねぞら,水稲,粳,あ系426,1982,1986,,,1991,愛知県　県農業総合試験場作物研究所,愛知56号/コシヒカリ
77,"愛知77号
",,,水稲,粳,育D722,1982,1986,,,,愛知県　県農業総合試験場作物研究所,愛知56号//あ系トビ277/愛知42号
78,"愛知78号
 
",葵の風,あおいのかぜ,水稲,粳,あ系425,1982,1986,,,1989,愛知県　県農業総合試験場作物研究所,愛知56号/コシヒカリ
79,"愛知79号
",,,水稲,粳,育788,1980,1987,,,,愛知県　県農業総合試験場作物研究所,ミネアサヒ/コシヒカリ
80,"愛知80号
",,,水稲,粳,あ系萎470,1982,1987,,,,愛知県　県農業総合試験場作物研究所,あ系萎348/星の光
81,"愛知81号
",,,水稲,粳,あ系他450,1981,1987,,,,愛知県　県農業総合試験場作物研究所,あ系268/多収系2
82,"愛知82号
",,,水稲,粳,あ系449,1980,1988,,,,愛知県　県農業総合試験場作物研究所,ミネアサヒ/コシヒカリ
83,"愛知83号
",,,水稲,粳,育865,1981,1988,,,,愛知県　県農業総合試験場作物研究所,愛知56号/ミネアサヒ
84,"愛知84号
",,,水稲,粳,あ系501,1983,1988,,,,愛知県　県農業総合試験場作物研究所,黄金晴/愛知56号
85,"愛知85号
",,,水稲,粳,あ系504,1983,1988,,,,愛知県　県農業総合試験場作物研究所,愛知61号/黄金晴
86,"愛知86号
",,,水稲,粳,あ系483,1983,1988,,,,愛知県　県農業総合試験場作物研究所,愛知56号/コシヒカリ
87,"愛知87号
",,,水稲,粳,あ系416,1982,1989,,,,愛知県　県農業総合試験場作物研究所,ミネアサヒ/コシヒカリ
88,"愛知88号
",,,水稲,粳,育936,1984,1989,,,,愛知県　県農業総合試験場作物研究所,愛知56号/あ系355
89,"愛知89号
",,,水稲,粳,育993,1982,1989,,,,愛知県　県農業総合試験場作物研究所,愛知56号/ミネアサヒ
90,"愛知糯90号
 
",あゆみもち,あゆみもち,水稲,糯,あ系糯531,1983,1989,,,1995,愛知県　県農業総合試験場作物研究所,愛知56号/愛知糯60号
91,"愛知糯91号
",,,水稲,糯,育M1005,1983,1989,,,,愛知県　県農業総合試験場作物研究所,愛知56号/恵糯
92,"愛知92号
 
",祭り晴,まつりばれ,水稲,粳,あ系558,1984,1990,,,1994,愛知県　県農業総合試験場作物研究所,愛知56号A/ミネアサヒ
93,"愛知93号
 
",あさひの夢,あさひのゆめ,水稲,粳,あ系602,1985,1992,,,1999,愛知県　県農業総合試験場作物研究所,愛知70号//愛知56号/愛知65号
94,"愛知94号
",,,水稲,粳,あ系627,1989,1993,,,,愛知県　県農業総合試験場作物研究所,コシヒカリ*2/あ系524
95,"愛知95号
",,,水稲,粳,あ系萎640,1989,1993,,,,愛知県　県農業総合試験場作物研究所,あ系558/5/愛知78号/4/月の光///愛知77号//育D759(愛知80号)/あ系426
96,"愛知96号
 
",大地の風,だいちのかぜ,水稲,粳,育D1280,1989,1993,,,1999,愛知県　県農業総合試験場作物研究所,あ系558/5/愛知78号/4/月の光///愛知77号//育D759(愛知80号)/あ系426
97,"愛知97号
",愛知97号,あいち97ごう,水稲,粳,あ系萎ﾄﾋﾞ645,1987,1993,,,1999,愛知県　県農業総合試験場作物研究所,愛知78号///愛知80号//月の光*3/83H133-1
98,"愛知98号
",,,水稲,粳,あ系他493,1981,1993,,,,愛知県　県農業総合試験場作物研究所,愛知46号/多収系2
99,"愛知99号
",,,水稲,粳,あ系他566,1981,1994,,,,愛知県　県農業総合試験場作物研究所,愛知46号/多収系2
100,"愛知100号
 
",あいちのかおりSBL,あいちのかおりSBL,水稲,粳,育1514,1987,1996,,,2000,愛知県　県農業総合試験場作物研究部,あいちのかおり///(あいちのかおり*2//愛知78号/あいちのかおり)F3
101,"愛知101号
",,,水稲,粳,愛系バイオ9,1992,1997,,,,愛知県　県農業総合試験場作物研究所,愛知92号/あ系626
102,"愛知102号
",,,水稲,粳,あ系IL765,1991,1999,,,,愛知県　県農業総合試験場作物研究所,あいちのかおり///(あいちのかおり*3//あ系他493/あいちのかおり)F4
103,"愛知糯103号
",,,水稲,糯,あ系糯715,1989,1999,,,,愛知県　県農業総合試験場作物研究所,愛知糯91号/関東糯148号
104,"愛知104号
",,,水稲,粳,あ系他774,1994,2000,,,,愛知県　県農業総合試験場作物研究所,愛知93号/育他1407
105,"愛知105号
",,,水稲,粳,あ系771,1996,2001,,,,愛知県　県農業総合試験場作物研究所,ひとめぼれ/愛系バイオ9
106,"愛知106号
",コシヒカリ愛知SBL,こしひかりあいちSBL,水稲,粳,あ系IL789,1996,2001,,,2002,愛知県　県農業総合試験場作物研究部,コシヒカリ///cmsコシヒカリ*3//(cmsコシヒカリ*2/3ⅢK-84)F6
107,"愛知107号
",,,水稲,粳,あ系IL萎772,1991,2001,,,,愛知県　県農業総合試験場作物研究所,コシヒカリ///(コシヒカリ//cmsコシヒカリ*5/3ⅡK-86)F4
108,"愛知108号
",ゆめまつり,ゆめまつり,水稲,粳,あ系萎769,1993,2001,,,2008,愛知県　県農業総合試験場作物研究部,愛知93号/愛知96号
109,"愛知109号
",,,水稲,粳,あ系794,1996,2002,,,,愛知県　県農業総合試験場作物研究所,あ系703/祭り晴
110,"愛知香110号
",,,水稲,粳,育香1762,1993,2002,,,,愛知県　県農業総合試験場作物研究所,愛知93号///(愛知76号//あ系他493/関東154号)F6
111,"愛知111号
 
",,,水稲,粳,あ系IL萎827、828,2001,2005,,,,愛知県　県農業総合試験場作物研究部,コシヒカリ///あ系IL789//コシヒカリ/あ系IL萎772
112,"愛知112号
",,,水稲,粳,あ系819,1998,2005,,,,愛知県　県農業総合試験場作物研究部,あ系739/愛知93号
113,"愛知113号
",,,水稲,粳,あ系825,1997,2005,,,,愛知県　県農業総合試験場作物研究部,愛知100号/あ系739
114,"愛知糯114号
",,,水稲,糯,あ系糯837,1997,2005,,,,愛知県　県農業総合試験場作物研究部,十五夜糯/あ系糯715
115,"愛知糯115号
",こはるもち,こはるもち,水稲,糯,育糯1889,1999,2008,,,2011,愛知県　県農業総合試験場作物研究部,愛知糯103号/あ系糯783
116,"愛知酒116号
",,,水稲,粳,あ系酒852,2001,2008,,,,愛知県　県農業総合試験場作物研究部,山田錦/育酒1764
117,"愛知酒117号
",夢吟香,ゆめぎんが,水稲,粳,あ系酒854,2001,2008,,,2010,愛知県　県農業総合試験場作物研究部,山田錦/育酒1764
118,"愛知118号
",,,水稲,粳,あ系IL萎849,2001,2009,,,,愛知県　県農業総合試験場作物研究部,あいちのかおりSBL*6/愛系バイオD12
119,"愛知119号
",,,水稲,粳,あ系843,2001,2009,,,,愛知県　県農業総合試験場作物研究部,あいちのかおりSBL//祭り晴/ハツシモ
120,"愛知120号
",,,水稲,粳,あ系萎869,2003,2010,,,,愛知県　県農業総合試験場作物研究部,ふさおとめ/愛知108号
121,"愛知121号
",,,水稲,粳,あ系IL萎845,1999,2011,,,,愛知県　県農業総合試験場作物研究部,コシヒカリ*3///あ系IL789//コシヒカリ/あ系IL萎772
122,"愛知122号
",,,水稲,粳,あ系895,2006,2012,,,,愛知県　県農業総合試験場作物研究部,コシヒカリ*3/TS-3
123,"愛知123号
",なつきらり,なつきらり,水稲,粳,あ系896,2006,2013,,,2014,愛知県　県農業総合試験場作物研究部,コシヒカリ*4/TS-3
124,"愛知糯124号
",,,水稲,糯,あ系糯875,1999,2008,,,,愛知県　県農業総合試験場作物研究部,愛知糯103号/あ系糯783
125,"愛知125号
",もみゆたか,もみゆたか,水稲,粳,あ系他893,2006,2014,,,2015,愛知県　県農業総合試験場作物研究部,タカナリ/Basilanon
126,"愛知糯126号
",やわ恋もち,やわこいもち,水稲,糯,稲系糯BE1320,2010,2016,,,2018,愛知県　県農業総合試験場山間農業研究所,中部糯130号/（愛知糯115号*2/旱不知D）F2//中部糯130号/愛知糯115号
127,"愛知酒127号
",,,水稲,粳,稲系酒1294,2004,2016,,,,愛知県　県農業総合試験場山間農業研究所,中部111号//夢山水/山形酒86号
128,"愛知酒128号
",,,水稲,粳,あ系酒949,2009,2015,,,,愛知県　県農業総合試験場作物研究部,あ系酒879/育1992
129,"愛知129号
",,,水稲,粳,あ系WX954,2010,2016,,,,愛知県　県農業総合試験場作物研究部,あいちのかおりSBL/山形101号
130,"愛知130号
",,,水稲,粳,あ系970,2008,2018,,,,愛知県　県農業総合試験場作物研究部,愛知108号/関東238号
131,"愛知糯131号
",,,水稲,糯,稲系糯1335,2011,2018,,,,愛知県　県農業総合試験場山間農業研究所,東北糯199号/稲系糯1280B
132,"愛知132号
",,,水稲,粳,稲系多BE1345,2015,2019,,,,愛知県　県農業総合試験場山間農業研究所,母本f([イ他1489///イ他1386A*2//イ他1486／イBE1410/4/3*イ他1386A])//愛知123号/稲系1290
133,"愛知133号
",,,水稲,粳,あ系951,2011,2018,,,,愛知県　県農業総合試験場作物研究部,あ系891/中部132号
134,"愛知134号
",,,水稲,粳,あ系971,2012,2018,,,,愛知県　県農業総合試験場作物研究部,ゆめまつり/富山80号
135,"愛知135号
",,,水稲,粳,あ系983,2016,2020,,,,愛知県　県農業総合試験場作物研究部,母本g([愛知118号*3/あ系891//愛知118号])/花粉親g([あいちのかおりSBL*3/あ系873//あいちのかおりSBL])
136,"愛知糯136号
",,,水稲,糯,あ系糯947,2010,2018,,,,愛知県　県農業総合試験場作物研究部,愛知糯115号/桜糯
137,"愛知137号
",,,水稲,粳,イカメ1710,2014,2020,,,,愛知県　県農業総合試験場山間農業研究所,稲系1290/イカメ1470
138,"愛知中稲1号
 
",,,水稲,粳,,1914,1919,,,,愛知県　県農事試験場,器量好(きりょうよし)/万才
139,"愛知中稲2号
",,,水稲,粳,,1914,1919,,,,愛知県　県農事試験場,器量好(きりょうよし)/万才
140,"愛知中稲3号
",,,水稲,粳,,1914,1919,,,,愛知県　県農事試験場,器量好(きりょうよし)/万才
141,"愛知中稲4号
",,,水稲,粳,,1914,1919,,,,愛知県　県農事試験場,器量好(きりょうよし)/万才
142,"愛知中稲5号
",,,水稲,粳,,1914,1919,,,,愛知県　県農事試験場,器量好(きりょうよし)/万才
143,"愛知中稲6号
",,,水稲,粳,,1916,1921,,,,愛知県　県農事試験場,白玉/器量好(きりょうよし)
144,"愛知中稲7号
",,,水稲,粳,,1916,1921,,,,愛知県　県農事試験場,白玉/器量好(きりょうよし)
145,"愛知中稲8号
",,,水稲,粳,,1917,1922,,,,愛知県　県農事試験場,器量好(きりょうよし)/京都旭
146,"愛知中稲9号
",,,水稲,粳,,1917,1922,,,,愛知県　県農事試験場,器量好(きりょうよし)/三河錦
147,"愛知中稲10号
",,,水稲,粳,,1917,1924,,,,愛知県　県農事試験場,器量好(きりょうよし)/三河錦
148,"愛知早稲1号
",,,水稲,粳,,1914,1919,,,,愛知県　県農事試験場,器量好(きりょうよし)/万才
149,"愛知早稲2号
",,,水稲,粳,,1914,1919,,,,愛知県　県農事試験場,
150,"愛知早稲3号
",,,水稲,粳,,1914,1919,,,,愛知県　県農事試験場,
151,"愛知早稲4号
",,,水稲,粳,,1914,1919,,,,愛知県　県農事試験場,
152,"愛知早稲5号
",,,水稲,粳,,1914,1919,,,,愛知県　県農事試験場,
153,"愛知早稲6号
",,,水稲,粳,,1916,1921,,,,愛知県　県農事試験場,
154,"愛知早稲7号
",,,水稲,粳,,1916,1921,,,,愛知県　県農事試験場,
155,"愛知早稲8号
",,,水稲,粳,,1917,1922,,,,愛知県　県農事試験場,
156,"愛知早稲9号
",,,水稲,粳,,1917,1922,,,,愛知県　県農事試験場,
157,"愛知早稲10号
",,,水稲,粳,,1917,1924,,,,愛知県　県農事試験場,
158,"愛知晩稲1号
",,,水稲,粳,,1912,1917,,,,愛知県　県農事試験場,神力/三河錦
159,"愛知晩稲2号
",,,水稲,粳,,1912,1917,,,,愛知県　県農事試験場,神力/三河錦
160,"愛知晩稲3号
",栄神力,さかえしんりき,水稲,粳,,1912,1919,,,1919,愛知県　県農事試験場,神力/三河錦
161,"愛知晩稲4号
",,,水稲,粳,,1912,1917,,,,愛知県　県農事試験場,神力/三河錦
162,"愛知晩稲5号
",,,水稲,粳,,1912,1917,,,,愛知県　県農事試験場,神力/竹成
163,"愛知晩稲6号
",,,水稲,粳,,1912,1917,,,,愛知県　県農事試験場,神力/竹成
164,"愛知晩稲7号
",,,水稲,粳,,1912,1917,,,,愛知県　県農事試験場,相徳/伊勢穂
165,"愛知晩稲8号(新玉)
",,,水稲,粳,,1914,1917,,,,愛知県　県農事試験場,神力/三河錦
166,"愛知晩稲9号
",,,水稲,粳,,1914,1917,,,,愛知県　県農事試験場,神力/三河錦
167,"愛知晩稲10号(白雪)
",,,水稲,粳,,1914,1917,,,,愛知県　県農事試験場,神力/三河錦
168,"愛知晩稲11号
",,,水稲,粳,,1914,1917,,,,愛知県　県農事試験場,神力/三河錦
169,"愛知晩稲12号(竜田)
",,,水稲,粳,,1914,1917,,,,愛知県　県農事試験場,神力/三河錦
170,"愛知晩稲13号(瑞穂)
",,,水稲,粳,,1912,1917,,,,愛知県　県農事試験場,神力/竹成
171,"愛知晩稲14号
",,,水稲,粳,,1912,1917,,,,愛知県　県農事試験場,亀治/神力
172,"愛知晩稲15号
",,,水稲,粳,,1912,1917,,,,愛知県　県農事試験場,亀治/神力
173,"愛知晩稲16号
",,,水稲,粳,,1912,1917,,,,愛知県　県農事試験場,亀治/神力
174,"愛知晩稲17号
",,,水稲,粳,,1914,1918,,,,愛知県　県農事試験場,神力/三河錦
175,"愛知晩稲18号
",,,水稲,粳,,1915,1919,,,,愛知県　県農事試験場,神力/朝日
176,"愛知晩稲19号
",,,水稲,粳,,1915,1919,,,,愛知県　県農事試験場,神力/朝日
177,"愛知晩稲20号
",,,水稲,粳,,1915,1919,,,,愛知県　県農事試験場,神力/朝日
178,"愛知晩稲21号
",,,水稲,粳,,1915,1919,,,,愛知県　県農事試験場,神力/朝日
179,"愛知晩稲22号
",,,水稲,粳,,1915,1919,,,,愛知県　県農事試験場,神力/朝日
180,"愛知晩稲25号
",,,水稲,粳,,1918,1924,,,,愛知県　県農事試験場,神力/尾張坊主
181,"愛知糯稲1号
",,,水稲,糯,,1912,1918,,,,愛知県　県農事試験場,神力/永田糯
182,"愛知糯稲2号
",平和糯,へいわもち,水稲,糯,,1912,1918,,,1918,愛知県　県農事試験場,神力/永田糯
183,"愛知糯稲3号
",,,水稲,糯,,1912,1918,,,,愛知県　県農事試験場,神力/永田糯
184,"雄関
",全勝,ぜんしょう,水稲,粳,,1923,1930,,,1930,愛知県　県農事試験場,小雄/関取11号
185,"千本旭2号
",豊年旭2号,ほうねんあさひ2ごう,水稲,粳,,1924,1930,,,1930,愛知県　県農事試験場,白千本/愛知旭
186,"新早生旭
",,,水稲,粳,,1926,1932,,,,愛知県　県農事試験場,愛知早稲1号/旭糯
187,"戦支中
",田戦捷,たせんしょう,水稲,粳,,1926,1931,,,1931,愛知県　県農事試験場,晩68/中弁122号
188,"太陽1号
",太陽,,水稲,粳,,1927,1932,,,1932,愛知県　県農事試験場,旭糯/庄兵衛
189,"太陽糯
",,,水稲,糯,,1927,1932,,,,愛知県　県農事試験場,旭糯/庄兵衛
190,"神力旭
",,,水稲,粳,,1929,1933,,,,愛知県　県農事試験場,器量好2号/早生旭
191,"夜明糯
",,,水稲,糯,,1929,1935,,,,愛知県　県農事試験場,黒糯/旭糯
192,"高根旭
",高根旭,,水稲,粳,,1929,1934,,,1934,愛知県　県農事試験場,三河錦/早生旭
193,"亀治旭
",,,水稲,粳,,1929,1934,,,,愛知県　県農事試験場,早生旭2号/亀治
194,"愛知新旭　
",,,水稲,粳,,1930,1934,,,,愛知県　県農事試験場,戦支中-10/愛知旭
195,"富国(愛知)
 
",,,水稲,粳,,1930,1934,,,,愛知県　県農事試験場,無芒愛国/亀治
196,"太豊
",,,水稲,粳,,1930,1935,,,,愛知県　県農事試験場,太陽/豊年旭
197,"北部旭
",,,水稲,粳,,1930,1936,,,,愛知県　県農事試験場,北部2号/愛知旭
198,"短菊
",,,水稲,粳,,1930,1938,,,,愛知県　県農事試験場,中支旭/雄町
199,"日の丸2号
",,,水稲,粳,,1931,1934,,,,愛知県　県農事試験場,日の丸/豊年旭
200,"太白
",,,水稲,粳,,1931,1934,,,,愛知県　県農事試験場,戦支中/雄関
201,"玉水　
",,,水稲,粳,,1931,1935,,,,愛知県　県農事試験場,戦支中/雄関
202,"愛知錦　
",,,水稲,粳,,1931,1937,,,,愛知県　県農事試験場,戦支中/愛知旭
203,"真珠1号
",真珠,しんじゅ,水稲,粳,,1931,1936,,,1936,愛知県　県農事試験場,田戦捷/早生旭2号
204,"黄玉旭
",,,水稲,粳,,1931,1935,,,,愛知県　県農事試験場,黄玉/早生旭
205,"朧糯
",,,水稲,糯,,1933,1938,,,,愛知県　県農事試験場,旭糯/夜明糯
206,"巴神力
",,,水稲,粳,,1933,1938,,,,愛知県　県農事試験場,太陽/神力旭
207,"日吉丸
",,,水稲,粳,,1933,1938,,,,愛知県　県農事試験場,日の丸/京都旭
208,"金城旭
",,,水稲,粳,,1933,1939,,,,愛知県　県農事試験場,太陽/京都旭
209,"常磐
",,,水稲,粳,,1933,1940,,,,愛知県　県農事試験場,北部旭/戦支中
210,"桜糯2号
",,,水稲,糯,,1933,1938,,,,愛知県　県農事試験場,旭糯/桜糯
211,"豊早生
",,,水稲,粳,,1934,1939,,,,愛知県　県農事試験場,豊戦/早生旭
212,"報国旭
",,,水稲,粳,,1934,1940,,,,愛知県　県農事試験場,高根旭/報国
213,"早生桜糯
",,,水稲,糯,,1935,1938,,,,愛知県　県農事試験場,早生旭糯/桜糯
214,"真珠旭
",,,水稲,粳,,1935,1940,,,,愛知県　県農事試験場,真珠/滋賀中生旭
